countryname,ccode,iso3c,basename,lat,lon,base,lilypad,fundedsite
Afghanistan,700,AFG,Bagram AB,34.946222,69.264639,1,0,0
Afghanistan,700,AFG,Kandahar Airfield,31.506807,65.847511,1,0,0
Afghanistan,700,AFG,Mazar-e-Sharif,36.707497,67.209892,1,0,0
Afghanistan,700,AFG,Gardez,33.625017,69.23584,1,0,0
Afghanistan,700,AFG,Kabul,34.534477,69.150352,1,0,0
Afghanistan,700,AFG,Herat,34.345236,62.205234,1,0,0
Afghanistan,700,AFG,Shindand,33.306995,62.136453,1,0,0
Afghanistan,700,AFG,Sharab,31.537207,64.230651,1,0,0
Afghanistan,700,AFG,Jalalabad,34.3983,70.500641,1,0,0
American Samoa,2,USA,American Samoa,-14.1646,-170.4202,0,1,0
Antarctica,920,NZL,McMurdo Station,-77.85,166.666667,0,1,0
Argentina,160,ARG,Chaco,-27.45139,-58.98667,0,0,1
Aruba,210,NLD,Aruba,12.52111,-69.968338,0,1,0
Ascension Island,200,GBR,Ascension Island,-7.946717,-14.355916,1,0,0
Australia,900,AUS,"Naval Communication Station Harold E. Holt; Exmouth, Northwest Cape",-21.882527,114.1333,1,0,0
Australia,900,AUS,"Joint Defence Facility Pine Gap, Alice Springs",-25.274398,133.77514,1,0,0
Australia,900,AUS,"Darwin, Robertson Barracks",-12.445,130.974444,1,0,0
Australia,900,AUS,"Kojarena, near Geraldton MUOS, ECHELON Intel and Communications Site",-28.695,114.842222,0,1,0
"Bahamas, The",31,BHS,Andros Island,24.706381,-78.019539,1,0,0
Bahrain,692,BHR,"Naval Support Activity Bahrain, Manama",26.216667,50.583333,1,0,0
Bahrain,692,BHR,Al Jufayr,26.211111,50.601111,1,0,0
Bahrain,692,BHR,Isa Air Base,25.918333,50.590556,1,0,0
Bahrain,692,BHR,Mina Salman,26.201,50.607,1,0,0
Belgium,211,BEL,USAG Benelux Brussels,50.85034,4.35171,1,0,0
Belgium,211,BEL,Chievres Air Base,50.575833,3.831111,1,0,0
Belgium,211,BEL,Florennes Air Base,50.243333,4.645833,1,0,0
Belgium,211,BEL,Kleine-Brogel	 Air Base,51.168333,5.47,1,0,0
Belgium,211,BEL,Mons/Shape,50.454241,3.956659,1,0,0
Belgium,211,BEL,Zutendaal,50.9475,5.590556,0,1,0
Belize,80,BLZ,Hunting Caye,18.001593,-87.943283,0,0,1
Belize,80,BLZ,Hattieville,17.45,-88.383333,0,0,1
