countryname,ccode,iso3c,year,location,lat,lon,toa
United States,2,USA,2008,Camp Bullis,29.6888855,-98.5597725,1600
United States,2,USA,2008,Fort Hood,31.2014388,-97.7717578,47000
United States,2,USA,2008,Anniston Army Depot,33.6476162,-85.9696755,26000
United States,2,USA,2008,Yakima,46.601557,-120.5108421,29000
United States,2,USA,2008,Wheeler Afb,47.130955,-119.238337,51000
United States,2,USA,2008,Fort Riley,39.1714753,-96.7798334,28000
United States,2,USA,2008,Fort Stewart,31.8694349,-81.6077657,36000
United States,2,USA,2008,Hawthorne Army Ammunition Plant,36.946863,-82.602228,11800
United States,2,USA,2008,Fort Leonard Wood,37.70114,-92.1693303,3800
United States,2,USA,2008,Fort Leonard Wood,37.70114,-92.1693303,4000
United States,2,USA,2008,Schofield Barracks,21.4933652,-158.065188,43000
United States,2,USA,2008,Fort Bragg,35.1422775,-78.9987279,47400
United States,2,USA,2008,Fort Irwin,35.3833955,-116.5447533,18500
United States,2,USA,2008,Presidio Monterey,36.6030801,-121.9142738,28000
United States,2,USA,2008,Fort Wainwright,64.6053824,-147.8563083,60000
United States,2,USA,2008,Fort Irwin,35.3833955,-116.5447533,5500
United States,2,USA,2008,Schofield Barracks,21.4933652,-158.065188,45000
United States,2,USA,2008,Fort Shafter,21.3507612,-157.8840168,31000
United States,2,USA,2008,Fort Stewart,31.8694349,-81.6077657,26000
United States,2,USA,2008,Fort Drum,27.5267045,-80.8067268,12000
United States,2,USA,2008,Fort Sill,34.6710832,-98.3894604,2900
United States,2,USA,2008,Fort Carson,38.5906561,-104.8157641,4900
United States,2,USA,2008,Fort Lewis,47.1086912,-122.5549795,5000
United States,2,USA,2008,Fort Bragg,35.1422775,-78.9987279,4800
United States,2,USA,2008,Fort Campbell,36.6313383,-87.6156884,5000
United States,2,USA,2008,Eglin Afb,30.461382,-86.5468344,66000
United States,2,USA,2008,Fort Leavenworth,39.345184,-94.921703,55000
United States,2,USA,2008,Fort Benning,32.3523691,-84.9688191,51000
United States,2,USA,2008,Fort Campbell,36.6313383,-87.6156884,49000
United States,2,USA,2008,Fort Benning,32.3523691,-84.9688191,73000
United States,2,USA,2008,Fort Benning,32.3523691,-84.9688191,5800
United States,2,USA,2008,Fort Bragg,35.1422775,-78.9987279,51000
United States,2,USA,2008,Fort Drum,27.5267045,-80.8067268,55000
United States,2,USA,2008,Fort Drum,27.5267045,-80.8067268,40000
United States,2,USA,2008,Fort Drum,27.5267045,-80.8067268,44000
United States,2,USA,2008,Fort Lewis,47.1086912,-122.5549795,102000
United States,2,USA,2008,Dover Afb,39.1283048,-75.4679193,17500
United States,2,USA,2008,Fort Knox,37.8976552,-85.9038521,6700
United States,2,USA,2008,Red River Army Depot,33.4312116,-94.3187785,9200
United States,2,USA,2008,Fort Sam Houston,29.4623536,-98.4320524,1950
United States,2,USA,2008,Fort Wainwright,64.6053824,-147.8563083,14000
United States,2,USA,2008,Fort Benning,32.3523691,-84.9688191,56000
United States,2,USA,2008,Miami Doral,25.7868018,-80.3656831,237000
United States,2,USA,2008,Fort Huachuca,31.5272545,-110.3606321,11000
United States,2,USA,2008,Fort Carson,38.5906561,-104.8157641,9300
United States,2,USA,2008,Fort Belvoir,38.7282122,-77.1509829,13000
United States,2,USA,2008,Springville,42.0594453,-91.4426703,3300
United States,2,USA,2008,Camp Robinson,32.3095686,-102.5553984,5500
United States,2,USA,2008,Sacramento Army Depot,32.801057,-105.613024,21000
United States,2,USA,2008,Camp Roberts,39.1783828,-86.1936016,2850
United States,2,USA,2008,Niantic,39.8539297,-89.1661942,13600
United States,2,USA,2008,Jacksonville,30.3321838,-81.655651,12200
United States,2,USA,2008,Orchard Trainig Area,42.575418,-83.373058,1700
United States,2,USA,2008,St Clair County,38.4616972,-89.9324347,8100
United States,2,USA,2008,Camp Ripley,46.2026955,-94.4421323,4850
United States,2,USA,2008,Whiteman Afb,38.7299184,-93.5613436,30000
United States,2,USA,2008,Ontario,34.065846,-117.6484304,11000
United States,2,USA,2008,Gettysburg,39.8308973,-77.231012,6300
United States,2,USA,2008,Huntingdon,40.4847959,-78.0102813,7500
United States,2,USA,2008,East Fallowfield Township,39.9505489,-75.8290581,8300
United States,2,USA,2008,Philadelphia,39.9527237,-75.1635262,3650
United States,2,USA,2008,Kutztown,40.5173165,-75.7774177,6800
United States,2,USA,2008,Lebanon,40.3429683,-76.4233816,7800
United States,2,USA,2008,Graterford,40.2256585,-75.454623,7300
United States,2,USA,2008,Holidaysburg,40.431246,-78.320646,9400
United States,2,USA,2008,Hanover,39.8063247,-76.9842735,5500
United States,2,USA,2008,Carlisle,40.201499,-77.1890783,7800
United States,2,USA,2008,Philadelphia,39.9527237,-75.1635262,10000
United States,2,USA,2008,Fort Indiantown Gap,40.4398111,-76.5982992,9500
United States,2,USA,2008,Hazelton,37.090303,-98.3984073,5600
United States,2,USA,2008,East Greenwich,41.6603788,-71.4558911,8200
United States,2,USA,2008,N. Kingstown,41.5514283,-71.4693875,33000
United States,2,USA,2008,Camp Bowie,38.9424464,-76.7301718,1500
United States,2,USA,2008,Fort Wolters,32.8524756,-98.0309755,2100
United States,2,USA,2008,North Salt Lake,40.8485564,-111.9068824,12200
United States,2,USA,2008,Fort Pickett,37.0436223,-77.9075283,1050
United States,2,USA,2008,Camp Dawson,41.8427629,-94.2224617,4500
United States,2,USA,2008,Camp Guernsey,42.2610598,-104.7320808,2650
United States,2,USA,2008,Fort Hunter Liggett,35.9522262,-121.2306495,2534
United States,2,USA,2008,Garden Grove,33.7746292,-117.9463717,25440
United States,2,USA,2008,Fort Dix,40.0301105,-74.6201691,17000
United States,2,USA,2008,Ellsworth,38.6942009,-98.2149289,9100
United States,2,USA,2008,Fort Mccoy,44.0251114,-90.6797461,8523
United States,2,USA,2008,Fort Drum,27.5267045,-80.8067268,15923
United States,2,USA,2008,Fort Hunter Liggett,35.9522262,-121.2306495,4501
United States,2,USA,2008,Fort Worth,32.753177,-97.3327459,15076
United States,2,USA,2008,Butte,39.6519275,-121.5858444,7629
United States,2,USA,2008,Cherry Point Marine Corps Air Station,37.729326,-88.926092,12110
United States,2,USA,2008,Nolf Washington County,41.157053,-85.486944,10060
United States,2,USA,2008,Camp Pendleton,33.3070018,-117.47376,8510
United States,2,USA,2008,Great Lakes,42.3093241,-87.8496551,16650
United States,2,USA,2008,Bangor,44.8011821,-68.7778138,39750
United States,2,USA,2008,San Diego,32.7174202,-117.1627728,9040
United States,2,USA,2008,San Diego,32.7174202,-117.1627728,14590
United States,2,USA,2008,Camp Pendleton,33.3070018,-117.47376,29050
United States,2,USA,2008,Pearl Harbor,21.3557748,-157.9991298,99860
United States,2,USA,2008,Bremerton,47.5653663,-122.6246836,47240
United States,2,USA,2008,Beaufort,32.4315813,-80.6698286,6800
United States,2,USA,2008,Cherry Point Marine Corps Air Station,37.729326,-88.926092,16500
United States,2,USA,2008,Norfolk,36.8462923,-76.2929252,11510
United States,2,USA,2008,Suitland,38.848724,-76.9238625,52069
United States,2,USA,2008,Camp Lejeune,34.639415,-77.342016,27800
United States,2,USA,2008,Camp Pendleton,33.3070018,-117.47376,17980
United States,2,USA,2008,Corpus Christi,27.7951482,-97.3942053,14290
United States,2,USA,2008,Twentynine Palms,34.1356915,-116.0543506,34329
United States,2,USA,2008,Norfolk,36.8462923,-76.2929252,53850
United States,2,USA,2008,Parris Island,32.3351978,-80.6923295,25322
United States,2,USA,2008,Quantico,38.5228755,-77.2901863,26680
United States,2,USA,2008,Parris Island,32.3351978,-80.6923295,5530
United States,2,USA,2008,Camp Lejeune,34.639415,-77.342016,8080
United States,2,USA,2008,Camp Lejeune,34.639415,-77.342016,14120
United States,2,USA,2008,Patuxent River,38.8142728,-76.7117773,17990
United States,2,USA,2008,Chesapeake,36.7183708,-76.2466798,8450
United States,2,USA,2008,Wahiawa,21.5006241,-158.016672,65410
United States,2,USA,2008,Camp Pendleton,33.3070018,-117.47376,17730
United States,2,USA,2008,Camp Lejeune,34.639415,-77.342016,21720
United States,2,USA,2008,Camp Lejeune,34.639415,-77.342016,12590
United States,2,USA,2008,Camp Lejeune,34.639415,-77.342016,14480
United States,2,USA,2008,Camp Lejeune,34.639415,-77.342016,9170
United States,2,USA,2008,Great Lakes,42.3093241,-87.8496551,10221
United States,2,USA,2008,Whidbey Island,48.1581426,-122.5974294,23910
United States,2,USA,2008,Camp Pendleton,33.3070018,-117.47376,31980
United States,2,USA,2008,Camp Pendleton,33.3070018,-117.47376,5830
United States,2,USA,2008,Patuxent River,38.8142728,-76.7117773,13650
United States,2,USA,2008,New River,37.7301385,-80.9057796,22530
United States,2,USA,2008,New River,37.7301385,-80.9057796,17330
United States,2,USA,2008,New River,37.7301385,-80.9057796,14570
United States,2,USA,2008,Yuma,32.665135,-114.4760316,22980
United States,2,USA,2008,Yuma,32.665135,-114.4760316,10740
United States,2,USA,2008,Camp Pendleton,33.3070018,-117.47376,6050
United States,2,USA,2008,Kaneohe Bay,39.199246,-81.46023,37961
United States,2,USA,2008,Camp Lejeune,34.639415,-77.342016,16460
United States,2,USA,2008,Camp Lejeune,34.639415,-77.342016,29970
United States,2,USA,2008,Camp Pendleton,33.3070018,-117.47376,4400
United States,2,USA,2008,Quantico,38.5228755,-77.2901863,18839
United States,2,USA,2008,Bremerton,47.5653663,-122.6246836,91070
