MMEID,Ex_Name,Series_Name,gwcode,country,year,Location,lat,lon,StartDate,s.year,s.month,s.day,EndDate,e.year,e.month,e.day,CPX,Air,Land,Sea,Amphibious,Cyber,Warfighting,Peacekeeping,Humanitarian,FocusDescription,AdditionalParticipantInfo,participant_count
mme100,Deterrent Force 1/80,Deterrent Force,20,Canada,1980,central mediterranean,34.5531284,18.0480105,5/16/80,1980,5,16,5/30/80,1980,5,30,0,0,0,1,0,0,1,0,0,provide opportunities for interchange between nato's atlantic and mediterranean naval forces,NA,7
mme100,Deterrent Force 1/80,Deterrent Force,260,Federal Republic of Germany,1980,central mediterranean,34.5531284,18.0480105,5/16/80,1980,5,16,5/30/80,1980,5,30,0,0,0,1,0,0,1,0,0,provide opportunities for interchange between nato's atlantic and mediterranean naval forces,NA,7
mme100,Deterrent Force 1/80,Deterrent Force,325,Italy,1980,central mediterranean,34.5531284,18.0480105,5/16/80,1980,5,16,5/30/80,1980,5,30,0,0,0,1,0,0,1,0,0,provide opportunities for interchange between nato's atlantic and mediterranean naval forces,NA,7
mme100,Deterrent Force 1/80,Deterrent Force,210,Netherlands,1980,central mediterranean,34.5531284,18.0480105,5/16/80,1980,5,16,5/30/80,1980,5,30,0,0,0,1,0,0,1,0,0,provide opportunities for interchange between nato's atlantic and mediterranean naval forces,NA,7
mme100,Deterrent Force 1/80,Deterrent Force,640,Turkey,1980,central mediterranean,34.5531284,18.0480105,5/16/80,1980,5,16,5/30/80,1980,5,30,0,0,0,1,0,0,1,0,0,provide opportunities for interchange between nato's atlantic and mediterranean naval forces,NA,7
mme100,Deterrent Force 1/80,Deterrent Force,200,United Kingdom,1980,central mediterranean,34.5531284,18.0480105,5/16/80,1980,5,16,5/30/80,1980,5,30,0,0,0,1,0,0,1,0,0,provide opportunities for interchange between nato's atlantic and mediterranean naval forces,NA,7
mme100,Deterrent Force 1/80,Deterrent Force,2,United States,1980,central mediterranean,34.5531284,18.0480105,5/16/80,1980,5,16,5/30/80,1980,5,30,0,0,0,1,0,0,1,0,0,provide opportunities for interchange between nato's atlantic and mediterranean naval forces,NA,7
mme1000,RIMPAC 92,RIMPAC,900,Australia,1992,"Pacific Ocean, Off Hawaii and Southern California",34.9592083,-116.419389,6/19/92,1992,6,19,8/2/92,1992,8,2,0,1,0,1,0,0,1,0,0,"to enhance the tactical capabilities of participating units in major aspects of maritime operations at sea,'",NA,5
mme1000,RIMPAC 92,RIMPAC,20,Canada,1992,"Pacific Ocean, Off Hawaii and Southern California",34.9592083,-116.419389,6/19/92,1992,6,19,8/2/92,1992,8,2,0,1,0,1,0,0,1,0,0,"to enhance the tactical capabilities of participating units in major aspects of maritime operations at sea,'",NA,5
mme1000,RIMPAC 92,RIMPAC,740,Japan,1992,"Pacific Ocean, Off Hawaii and Southern California",34.9592083,-116.419389,6/19/92,1992,6,19,8/2/92,1992,8,2,0,1,0,1,0,0,1,0,0,"to enhance the tactical capabilities of participating units in major aspects of maritime operations at sea,'",NA,5
