ccode,iso3c,countryname,year,month,quarter,source,troops_ad,army_ad,navy_ad,air_force_ad,marine_corps_ad,coast_guard_ad,space_force_ad,army_national_guard,air_national_guard,army_reserve,navy_reserve,marine_corps_reserve,air_force_reserve,coast_guard_reserve,total_selected_reserve,army_civilian,navy_civilian,marine_corps_civilian,air_force_civilian,dod_civilian,total_civilian,year_quarter,troops_all,region
2,USA,United States,1950,June,2,June 1950,952600,364024,183654,335473,69449,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1950.2,952600,North America
2,USA,United States,1951,June,2,Stepwise Imputation,1414526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1951.2,1414526,North America
2,USA,United States,1952,June,2,Stepwise Imputation,1876452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1952.2,1876452,North America
2,USA,United States,1953,June,2,June 1953,2338379,822862,606940,704652,203925,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1953.2,2338379,North America
2,USA,United States,1954,June,2,June 1954,2159404,783377,269594,685631,155657,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1954.2,2159404,North America
2,USA,United States,1955,June,2,June 1955,2003012,642419,259179,683915,162726,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1955.2,2003012,North America
2,USA,United States,1956,June,2,June 1956,1913912,594991,259349,649183,158166,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1956.2,1913912,North America
2,USA,United States,1957,September,3,September 1957,1830532,589431,442768,648842,149491,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1957.3,1830532,North America
2,USA,United States,1958,September,3,September 1958,1786761,551342,464743,628140,142536,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1958.3,1786761,North America
2,USA,United States,1959,September,3,September 1959,1783831,552621,460684,627649,142877,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1959.3,1783831,North America
2,USA,United States,1960,September,3,September 1960,1806455,563002,477212,625240,141001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1960.3,1806455,North America
2,USA,United States,1961,September,3,September 1961,1847803,562862,496994,642359,145588,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1961.3,1847803,North America
2,USA,United States,1962,September,3,September 1962,1921062,580443,512354,676865,151400,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1962.3,1921062,North America
2,USA,United States,1963,September,3,September 1963,1964195,608297,518845,689338,147715,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1963.3,1964195,North America
2,USA,United States,1964,September,3,September 1964,1952708,623583,497477,679194,152454,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1964.3,1952708,North America
2,USA,United States,1965,September,3,September 1965,1891436,582250,515661,657237,136288,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1965.3,1891436,North America
2,USA,United States,1966,September,3,September 1966,2177316,798698,533819,658239,186560,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1966.3,2177316,North America
2,USA,United States,1967,September,3,September 1967,2183393,825934,528493,634598,194368,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1967.3,2183393,North America
2,USA,United States,1968,September,3,September 1968,1786712,726212,293423,597207,169870,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1968.3,1786712,North America
2,USA,United States,1969,September,3,September 1969,1787560,735665,306800,560331,184764,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1969.3,1787560,North America
2,USA,United States,1970,September,3,September 1970,1573500,623157,286471,508954,154918,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1970.3,1573500,North America
2,USA,United States,1971,September,3,September 1971,1489291,537003,278688,533402,140198,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1971.3,1489291,North America
2,USA,United States,1972,September,3,September 1972,1448420,519962,274672,513305,140481,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1972.3,1448420,North America
2,USA,United States,1973,September,3,September 1973,1396117,488551,268626,500740,138200,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1973.3,1396117,North America
2,USA,United States,1974,September,3,September 1974,1464310,486578,361648,478699,137130,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1974.3,1464310,North America
