year,month,quarter,state,fipscode,army_ad,navy_ad,marine_corps_ad,air_force_ad,coast_guard_ad,troops_ad,army_national_guard,army_reserve,navy_reserve,marine_corps_reserve,air_national_guard,air_force_reserve,coast_guard_reserve,total_selected_reserve,army_civilian,navy_civilian,marine_corps_civilian,air_force_civilian,dod_civilian,total_civilian,space_force_ad
2008,September,3,Alabama,1,5321,135,257,2774,932,9419,11043,5238,376,691,2176,1315,157,20996,18249,61,6,2211,2123,22650,NA
2008,September,3,Alaska,2,6825,54,8,7540,2144,16571,1870,324,81,7,1953,200,50,4485,2637,21,0,1704,338,4700,NA
2008,September,3,Arizona,4,4663,351,3493,10101,26,18634,5201,2490,888,415,2493,1035,2,12524,3931,147,456,3177,1052,8763,NA
2008,September,3,Arkansas,5,135,17,31,4367,24,4574,5418,2031,205,174,1820,184,0,9832,2707,5,0,898,112,3722,NA
2008,September,3,California,6,6611,54844,56709,16583,5265,140012,16214,12686,9038,4255,4389,7657,923,55162,8121,27449,4863,9856,6051,56340,NA
2008,September,3,Colorado,8,10508,711,269,8415,48,19951,3474,2801,854,388,1469,2363,13,11362,3512,56,3,5244,1798,10613,NA
2008,September,3,Connecticut,9,20,5928,22,17,733,6720,3040,1112,399,180,1076,3,111,5921,451,1044,0,218,577,2290,NA
2008,September,3,Delaware,10,10,4,9,3008,31,3062,1492,349,111,96,1018,1577,1,4644,223,3,2,1231,68,1527,NA
2008,September,3,District Of Columbia,11,5865,2916,1272,2616,1482,14151,1276,1544,1896,336,1148,189,123,6512,4189,8820,50,826,769,14654,NA
2008,September,3,Florida,12,3212,26723,3762,22346,4653,60696,9631,8818,5567,1159,1984,5075,955,33189,3378,11180,186,9278,2007,26029,NA
2008,September,3,Georgia,13,49618,5281,1284,8081,443,64707,10643,8755,1916,1014,2573,2868,129,27898,12598,2163,2376,14536,2750,34423,NA
2008,September,3,Hawaii,15,15349,12459,4088,4404,1284,37584,2461,2669,726,35,2292,607,129,8919,4805,8560,557,2007,973,16902,NA
2008,September,3,Idaho,16,18,69,24,3171,3,3285,3419,685,149,100,1451,32,0,5836,777,50,0,660,56,1543,NA
2008,September,3,Illinois,17,776,18190,297,4352,146,23761,9557,5928,2831,1313,2884,1382,94,23989,7915,1663,5,3407,1144,14134,NA
2008,September,3,Indiana,18,388,87,171,84,55,785,9432,3236,359,565,1836,1478,7,16913,1794,3004,2,859,3897,9556,NA
2008,September,3,Iowa,19,22,21,111,40,35,229,6982,2534,161,186,1977,0,6,11846,922,5,2,495,38,1462,NA
2008,September,3,Kansas,20,14266,397,92,2261,123,17139,4999,2934,149,188,1976,459,32,10737,5319,4,1,991,370,6685,NA
2008,September,3,Kentucky,21,20181,16,242,122,125,20686,6535,4168,286,194,1170,3,78,12434,6477,176,3,232,942,7830,NA
2008,September,3,Louisiana,22,4240,538,663,5063,1223,11727,8664,2514,1977,1026,1517,1675,191,17564,3645,709,110,1395,317,6176,NA
2008,September,3,Maine,23,246,2262,29,14,522,3073,1963,505,467,99,1125,1,92,4252,300,5356,1,262,715,6634,NA
2008,September,3,Maryland,24,6727,8264,1832,7147,762,24732,4771,4478,1984,399,1785,1773,212,15402,12776,14577,8,2174,2155,31690,NA
2008,September,3,Massachusetts,25,155,357,208,1203,1768,3691,6191,2978,348,721,1966,2359,506,15069,2295,208,4,2655,892,6054,NA
2008,September,3,Michigan,26,493,276,317,104,1146,2336,7992,3025,1121,1072,2637,119,166,16132,5622,32,6,957,1495,8112,NA
2008,September,3,Minnesota,27,321,185,142,76,142,866,10652,3220,693,207,2142,1289,33,18236,1420,18,3,749,155,2345,NA
2008,September,3,Mississippi,28,394,6033,532,6029,424,13412,9638,2029,806,125,2506,1599,140,16843,3295,2302,0,2483,280,8360,NA
2008,September,3,Missouri,29,11339,428,1606,3297,177,16847,7508,5136,1463,3466,2723,1152,102,21550,6769,59,405,1218,645,9096,NA
2008,September,3,Montana,30,15,5,14,3088,5,3127,2649,796,151,17,1014,37,0,4664,567,1,0,777,46,1391,NA
2008,September,3,Nebraska,31,97,358,61,5134,16,5666,3708,1550,353,181,1003,335,17,7147,1351,10,4,1932,101,3398,NA
2008,September,3,Nevada,32,116,914,49,7741,14,8834,2743,629,402,209,1005,414,2,5404,466,276,1,1232,154,2129,NA
2008,September,3,New Hampshire,33,6,626,130,51,341,1154,1798,890,116,113,940,1,18,3876,475,13,2,268,144,902,NA
2008,September,3,New Jersey,34,877,444,150,3891,2038,7400,3423,3794,916,416,2286,2583,167,13585,10022,1944,12,1389,687,14054,NA
2008,September,3,New Mexico,35,603,74,101,7626,11,8415,2988,674,263,74,973,156,0,5128,2832,43,1,3185,462,6523,NA
2008,September,3,New York,36,15464,1833,847,307,1126,19577,8339,8313,1953,1479,5913,1271,559,27827,6898,109,28,2419,1979,11433,NA
2008,September,3,North Carolina,37,40230,3764,41450,7235,1563,94242,10242,6319,1212,632,1427,2019,224,22075,7831,4293,2919,1392,2195,18630,NA
2008,September,3,North Dakota,38,13,7,4,5872,0,5896,3059,281,89,26,838,36,0,4329,484,3,0,1138,78,1703,NA
2008,September,3,Ohio,39,543,351,222,4757,404,6277,9019,5186,1427,919,5254,3764,185,25754,1522,76,5,12115,8935,22653,NA
2008,September,3,Oklahoma,40,10708,1319,412,7679,55,20173,5490,2857,608,329,1998,1689,12,12983,4873,83,5,13942,1432,20335,NA
2008,September,3,Oregon,41,177,181,144,44,1056,1602,6325,513,581,322,2176,99,142,10158,2565,24,2,538,24,3153,NA
2008,September,3,Pennsylvania,42,965,862,646,211,339,3023,14134,7506,2081,1492,3999,1322,166,30700,9594,6247,21,1143,8336,25341,NA
2008,September,3,Rhode Island,44,22,2021,175,74,264,2556,2065,339,578,102,1153,0,45,4282,240,3562,2,167,95,4066,NA
2008,September,3,South Carolina,45,14520,5771,11401,7104,748,39544,9539,4231,804,285,1206,2214,164,18443,3336,2861,734,1767,696,9394,NA
2008,September,3,South Dakota,46,25,5,0,2842,0,2872,3162,354,128,0,802,24,0,4470,492,1,1,668,48,1210,NA
2008,September,3,Tennessee,47,293,1532,165,164,165,2319,10498,3949,1373,624,3483,17,53,19997,4247,1132,3,1096,752,7230,NA
2008,September,3,Texas,48,57088,5566,2082,35111,1632,101479,18014,16340,5979,2940,3027,6668,403,53371,24424,1337,25,14555,3651,43992,NA
2008,September,3,Utah,49,298,38,137,3888,6,4367,4863,2551,388,272,1425,1402,0,10901,2319,38,2,10754,1005,14118,NA
2008,September,3,Vermont,50,15,9,31,24,29,108,2658,204,46,0,971,1,18,3898,308,3,0,253,31,595,NA
2008,September,3,Virginia,51,22641,69401,11652,11929,4327,119950,7847,6974,5100,1058,1630,1561,617,24787,21004,33848,3619,4511,19858,82840,NA
2008,September,3,Washington,53,26496,18957,723,5445,2033,53654,5865,5286,2387,456,1978,2364,504,18840,7804,14767,3,1840,900,25314,NA
2008,September,3,West Virginia,54,241,182,121,42,74,660,4501,1962,126,265,2251,1,27,9133,1110,92,0,545,12,1759,NA
2008,September,3,Wisconsin,55,303,58,137,59,282,839,7539,4904,599,543,2159,1,106,15851,1769,28,3,462,113,2375,NA
2008,September,3,Wyoming,56,7,0,1,2760,3,2771,1765,75,64,0,1162,34,0,3100,261,0,0,756,41,1058,NA
